PlayerId,FirstName,LastName
2,Lebron,James
3,James,Harden
4,Kareem,Abdul-Jabbar
5,Precious,Achiuwa
6,Arron,Afflalo
7,Giannis,Antetokounmpo
8,Carmelo,Anthony
9,Cole,Anthony
10,Deni,Avdija
11,Udoka,Azubuike
12,J.J.,Barea
13,Bradley,Beal
14,Larry,Bird
15,Eric,Bledsoe
16,Devin,Booker
17,Carlos,Boozer
18,Anthony,Brown
19,Kobe,Bryant
20,Trey,Burke
21,Vernon,Carey Jr.
22,Roberto,Clemente
23,DeMarcus,Cousins
24,Stephen,Curry
25,Bob,Dandridge
26,Anthony,Davis
27,Luka,Doncic
28,Andre,Drummond
29,Tim,Duncan
30,Kevin,Durant
31,Anthony,Edwards
32,Len,Elmore
33,Malachi,"Flynn "
34,Marc,Gasol
35,Paul,George
36,Shai,Gilgeous-Alexander
37,Eric,Gordon
38,Draymond,Green
39,Gerald,Green
40,Josh,Green
41,Blake,Griffin
42,Darrell,Griffith
43,Tyrese,Haliburton
44,RJ,Hampton
45,Anfernee,Hardaway
46,Spencer,Hawes
47,J.J.,Hickson
48,Solomon,Hill
49,Al,Horford
50,Dwight,Howard
51,Serge,Ibaka
52,Zydrunas,Ilgauskas
53,Kyrie,Irving
54,Jaren,Jackson Jr.
55,Magic,Johnson
56,DeQuan,Jones
57,Tre,Jones
58,Aleksej,Pokusevski
59,Kyle,Korver
60,Bill,Laimbeer
61,Alex,Len
62,Kawhi,Leonard
63,Fat,Lever
64,Kira,Lewis Jr.
65,Damian,Lillard
66,Kevin,Love
67,Theo,Maledon
68,Kevin,Martin
69,Kenyon,Martin Jr.
70,Anthony,Mason
71,O.J.,Mayo
72,C.J.,McCollum
73,Yao,Ming
74,Larry,Nance
75,Jordan,Nwora
76,Charles,Oakley
77,Onyeka,Okongwu
78,Isaac,Okoro
79,Shaquille,O'Neal
80,Chris,Paul
81,Adreian,Payne
82,Dustin,Pedroia
83,J.J.,Redick
84,David,Robinson
85,Derrick,Rose
86,Ricky,Rubio
87,Cazzie,Russel
88,Dennis,Schroder
89,Iman,Shumpert
90,Alexey,Shved
91,Jalen,Smith
92,Rory,Sparrow
93,Cassius,Stanley
94,Isaiah,Stewart
95,Jayson,Tatum
96,Frank,Thomas
97,Tristan,Thompson
98,Obi,Toppin
99,Karl-Anthony,Town
100,Gary,Trent Jr.
101,Devin,Vassell
102,Dwayne,Wade
103,Moritz,Wagner
104,John,Wall
105,Russell,Westbrook
106,Gus,Williams
107,Deron,Williams
108,Robert,Williams III
109,Zion,Williamson
110,James,Wiseman
111,Nate,Wolters
112,James,Worthy
113,Trae,Young
114,Tyler,Herro
115,Tyrese,Maxey
116,Otis,Birdsong
117,LaMelo,Ball
118,Vlade,Divac
119,Carl,Landry
120,Payton,Pritchard
121,Rudy,Gay
122,Isaiah,Thomas
123,Ben,McLemore
124,Jason,Thompson
125,Immanuel,Quickley
127,Alec,Burks
128,Richard,Jefferson
129,Brian,Roberts
130,Jared,Sullinger
131,Chandler,Parsons
132,Manu,Ginobili
133,Ersan,Ilyasova
134,David,Thompson
135,Andrew,Nicholson
137,Dirk,Nowitzki
138,Paul,Pierce
139,Julius,Erving
140,John,Stockton
141,Theo,Ratliff
142,Kevin,Garnett
143,Nikola,Vucevic
144,Tyler,Zeller
145,Corey,Brewer
146,Tyler,Hansbrough
147,Bernard,James
148,Danny,Granger
149,Carlos,Delfino
150,Tornike,Shengelia
151,Alan,Anderson
152,Arnett,Moultrie
153,Channing,Frye
154,Goran,Dragic
155,Miles,Plumlee
156,P.J.,Tucker
157,Jason,Williams
158,Mason,Plumlee
159,RJ,Barrett
160,Brad,Daugherty
161,Anderson,Varejao
162,Mark,Price
163,Mo,Williams
164,Antawn,Jamison
165,Campy,Russell
166,Jarrett,Allen
167,Fred,VanVleet
168,Ja,Morant
170,Aaron,Nesmith
171,Jarrett,Jack
172,Luol,Deng
173,Ayo,Dosunmu
174,Lauri,Markkanen
175,Cedi,Osman
176,Evan,Mobley
177,Cade,Cunningham
178,Team,Card
179,Alperen,Sengun
180,Patrick,Ewing
181,JT,Thor
182,Ben,Wallace
183,Jimmy,Butler
184,Trey,Murphy III
185,Hyland,Bones
186,Donovan,Mitchell
187,Jalen,Green
188,Chris,Duarte
189,Usman,Garuba
190,Jonathan,Kuminga
191,Kai,Jones
192,Nikola,Jokic
193,Sharife,Cooper
194,Keon,Johnson
195,Luka,Garza
196,Joe,Wieskamp
197,Jeremiah,Robinson-Earl
198,Scottie,Barnes
199,Killian,Hayes
200,Josh,Christopher
201,Tre,Mann
202,Josh,Giddey
203,Darius,Garland
204,Ben,Simmons
205,Caris,LeVert
206,Norman,Powell
207,Charles,Barkley
208,Dejounte,Murray
209,Herbert,Jones
210,Aaron,Wiggins
211,Joshua,Primo
212,Isaiah,Jackson
213,Kessler,Edwards
214,Corey,Kispert
215,JR,Smith
